MODEL,SCENARIO,REGION,variable,percent,resulttype
GCAM 3.0,AMPERE2-Base-LowEI-OPT,REF,fossilco2,1.1596894243842588,growtherror
GCAM 3.0,AMPERE2-Base-LowEI-OPT,World,fossilco2,0.24224036912968638,growtherror
GCAM 3.0,AMPERE2-Base-NucOff-OPT,ASIA,fossilco2,0.23692568352965182,growtherror
GCAM 3.0,AMPERE2-Base-NucOff-OPT,LAM,fossilco2,1.5312895581263248,growtherror
GCAM 3.0,AMPERE2-Base-NucOff-OPT,MAF,fossilco2,0.08220608010479857,growtherror
GCAM 3.0,AMPERE2-Base-NucOff-OPT,OECD90,fossilco2,1.719341297407396,growtherror
GCAM 3.0,AMPERE2-Base-NucOff-OPT,REF,fossilco2,1.7878715489778683,growtherror
GCAM 3.0,AMPERE2-Base-NucOff-OPT,World,fossilco2,0.8187106627625191,growtherror
GCAM 3.0,AMPERE3-Base,ASIA,fossilco2,0.3558687586559435,growtherror
GCAM 3.0,AMPERE3-Base,LAM,fossilco2,1.6793110708519152,growtherror
GCAM 3.0,AMPERE3-Base,MAF,fossilco2,0.2163239350117241,growtherror
GCAM 3.0,AMPERE3-Base,OECD90,fossilco2,1.8286500341167975,growtherror
GCAM 3.0,AMPERE3-Base,REF,fossilco2,1.8662153413410463,growtherror
